path	resolution	evidence
.github/workflows/app.yml	preserve-musuw-deletion	Musuw root CI is the sole application build authority; vendored nested workflow remains intentionally absent
.github/workflows/cli.yml	preserve-musuw-deletion	Musuw root CI validates the vendored CLI; vendored nested workflow remains intentionally absent
.github/workflows/docker-image.yml	preserve-musuw-deletion	Musuw root delivery builds the product runtime images; vendored nested publisher remains intentionally absent
.github/workflows/docreader.yml	preserve-musuw-deletion	Musuw root CI validates active DocReader directly; vendored nested workflow remains intentionally absent
.github/workflows/anydoc.yml	preserve-musuw-deletion	Musuw root CI builds audits vets and tests AnyDoc; the vendored nested workflow remains intentionally absent
.github/workflows/dsh-plugin.yml	preserve-musuw-deletion	Musuw root CI validates the DSH package and pinned harness E2E; upstream npm publishing is not a Musuw release authority
.github/workflows/go-lint-cache.yml	preserve-musuw-deletion	Musuw root CI owns Go caches and release gates; the vendored cache-only workflow remains intentionally absent
.github/workflows/go-lint.yml	preserve-musuw-deletion	Musuw root CI runs root CLI and client vet build tests plus new-findings golangci-lint; the vendored nested workflow remains intentionally absent
frontend/src/assets/business-baselines/KnowledgeBase.pre-view.vue	adapt-musuw-for-target	Repair batch feedback inherited from v0.7.2 and still present in upstream main 7e53c31: retain per-file results; refresh each accepted upload with folder-order and pagination protection; warn before reloading a pending batch; existing request targets and entitlement rules remain authoritative; list refresh loading remains owned by its request and failures expose retry; child folders stay visible regardless of sidebar expansion; selected in-flight parsing cancellation reuses the per-document endpoint and preserves failed selections for retry; confirmed recursive folder deletion enumerates unfiltered descendants before using existing asynchronous batch deletion and reports partial submissions; folder entries and documents retain one successful request scope during navigation
frontend/src/components/UserMenu.vue	adapt-musuw-for-target	Free Plus and Pro expose the existing upgrade-plan label; Max retains view-plans; paid checkout and complimentary-plan purchase eligibility remain unchanged
frontend/src/views/knowledge/KnowledgeBase.vue	compose-three-way	Native controller remains the upload authority; the Musuw view renders its persistent upload progress and file results outside the document list, plus immediate detail/list loading and error feedback; directory expansion opens direct documents and child folders, sidebar and folder entries share deletion confirmation, and retained previous-folder content is inert until navigation succeeds
frontend/src/assets/business-baselines/ChatIndex.pre-view.vue	adapt-musuw-for-target	Failed history requests retain their cursor and expose retry; only the active session request owns loading/error state; failed history is not treated as an empty conversation
frontend/src/hooks/useKnowledgeBase.ts	adapt-musuw-for-target	Report detail and list request loading/failure at the existing API boundary; ignore obsolete detail replies and keep errors retryable
frontend/src/components/doc-content.vue	compose-three-way	Immediately display the detail request state and initial chunk loading/failure instead of premature empty content; Render document summaries with the existing sanitized Markdown pipeline instead of exposing raw bold markers
frontend/src/components/document-preview.vue	compose-three-way	Keep loading feedback visible while renderers prepare content; mount DOCX beneath the overlay and await PPTX rendered/error feedback; source-keyed preview instances isolate late file responses and renderer callbacks
frontend/src/operations/OperationsApp.vue	adapt-musuw-for-target	Retain the existing operations shell and restore failed bootstrap reads with useOperationsReadRecovery; recovery does not navigate or reload the mounted operator form; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/api.ts	adapt-musuw-for-target	Retain the private loopback operations gateway protocol; only GET/HEAD 401 responses renew the existing session once, synchronize CSRF, and coalesce concurrent or late expired reads; current same-environment browser CSRF cookies override stale in-memory tokens; mutations are never replayed; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/BillingPage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/IdentityPage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/KnowledgePage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/LogsPage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/ModelsPolicyPage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/OverviewPage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
frontend/src/operations/pages/StoragePage.vue	adapt-musuw-for-target	Retain the existing read owner and attach the Musuw-only useOperationsReadRecovery helper to failed reads; online/focus/visibility or a five-second retry restores data without polling successful reads, replaying writes, or resetting operator forms; verified by e2e/operations-recovery.spec.ts
